x,y,avg
-5,-5,55.569
-2.368421053,-5,139.412
-2.368421053,-3.947368421,152.215
-2.368421053,-3.421052632,112.276
-2.368421053,-2.894736842,93.808
-2.368421053,-2.368421053,78.477
-2.368421053,-1.842105263,67.986
-2.368421053,-1.315789474,62.541
-2.368421053,-0.789473684,57.775
-2.368421053,-0.263157895,57.85
-5,0.263157895,210.693
-2.368421053,0.263157895,59.216
-2.368421053,0.789473684,62.675
-2.368421053,1.315789474,68.037
-2.368421053,1.842105263,78.665
-2.368421053,2.368421053,92.814
-2.368421053,2.894736842,114.756
-2.368421053,3.421052632,140.546
-2.368421053,3.947368421,194.018
-2.368421053,5,179.905
-5,0.789473684,212.531
-1.842105263,-5,156.146
-1.842105263,-3.947368421,135.023
-1.842105263,-3.421052632,100.612
-1.842105263,-2.894736842,81.244
-1.842105263,-2.368421053,67.067
-1.842105263,-1.842105263,57.416
-1.842105263,-1.315789474,52.268
-1.842105263,-0.789473684,49.358
-1.842105263,-0.263157895,49.347
-5,1.315789474,209.871
-1.842105263,0.263157895,50.128
-1.842105263,0.789473684,53.464
-1.842105263,1.315789474,58.004
-1.842105263,1.842105263,66.983
-1.842105263,2.368421053,80.111
-1.842105263,2.894736842,100.629
-1.842105263,3.421052632,127.251
-1.842105263,3.947368421,176.641
-1.842105263,5,206.839
-5,1.842105263,187.564
-1.315789474,-5,176.338
-1.315789474,-3.947368421,121.981
-1.315789474,-3.421052632,90.183
-1.315789474,-2.894736842,73.912
-1.315789474,-2.368421053,60.212
-1.315789474,-1.842105263,51.705
-1.315789474,-1.315789474,46.109
-1.315789474,-0.789473684,44.123
-1.315789474,-0.263157895,42.613
-5,2.368421053,166.466
-1.315789474,0.263157895,44.386
-1.315789474,0.789473684,46.891
-1.315789474,1.315789474,52.175
-1.315789474,1.842105263,60.762
-1.315789474,2.368421053,72.469
-1.315789474,2.894736842,92.289
-1.315789474,3.421052632,116.242
-1.315789474,3.947368421,162.012
-1.315789474,5,237.19
-5,2.894736842,137.325
-0.789473684,-5,179.403
-0.789473684,-3.947368421,116.424
-0.789473684,-3.421052632,81.359
-0.789473684,-2.894736842,67.157
-0.789473684,-2.368421053,55.756
-0.789473684,-1.842105263,47.772
-0.789473684,-1.315789474,43.097
-0.789473684,-0.789473684,40.217
-0.789473684,-0.263157895,39.712
-5,3.421052632,109.781
-0.789473684,0.263157895,40.711
-0.789473684,0.789473684,44.279
-0.789473684,1.315789474,49.034
-0.789473684,1.842105263,56.752
-0.789473684,2.368421053,68.815
-0.789473684,2.894736842,85.059
-0.789473684,3.421052632,106.291
-0.789473684,3.947368421,158.9
-0.789473684,5,246.181
-5,3.947368421,88.534
-0.263157895,-5,179.443
-0.263157895,-3.947368421,117.507
-0.263157895,-3.421052632,78.511
-0.263157895,-2.894736842,62.655
-0.263157895,-2.368421053,54.299
-0.263157895,-1.842105263,46.983
-0.263157895,-1.315789474,41.926
-0.263157895,-0.789473684,39.379
-0.263157895,-0.263157895,37.719
-5,4.473684211,76.378
-0.263157895,0.263157895,38.952
-0.263157895,0.789473684,43.324
-0.263157895,1.315789474,48.514
-0.263157895,1.842105263,57.15
-0.263157895,2.368421053,67.463
-0.263157895,2.894736842,81.074
-0.263157895,3.421052632,103.593
-0.263157895,3.947368421,159.819
-0.263157895,5,250.113
-5,5,66.781
-5,-4.473684211,63.429
0.263157895,-5,180.395
0.263157895,-3.947368421,118.002
0.263157895,-3.421052632,79.155
0.263157895,-2.894736842,63.207
0.263157895,-2.368421053,54.747
0.263157895,-1.842105263,47.879
0.263157895,-1.315789474,43.575
0.263157895,-0.789473684,40.406
0.263157895,-0.263157895,38.531
-4.473684211,-5,63.485
0.263157895,0.263157895,39.859
0.263157895,0.789473684,44.105
0.263157895,1.315789474,49.488
0.263157895,1.842105263,58.054
0.263157895,2.368421053,69.456
0.263157895,2.894736842,81.297
0.263157895,3.421052632,104.95
0.263157895,3.947368421,164.016
0.263157895,5,255.07
-4.473684211,-4.473684211,81.63
0.789473684,-5,182.161
0.789473684,-3.947368421,119.813
0.789473684,-3.421052632,83.177
0.789473684,-2.894736842,69.441
0.789473684,-2.368421053,57.696
0.789473684,-1.842105263,51.069
0.789473684,-1.315789474,47.426
0.789473684,-0.789473684,44.608
0.789473684,-0.263157895,42.647
-4.473684211,-3.947368421,101.035
0.789473684,0.263157895,44.191
0.789473684,0.789473684,47.201
0.789473684,1.315789474,52.326
0.789473684,1.842105263,61.61
0.789473684,2.368421053,73.981
0.789473684,2.894736842,91.238
0.789473684,3.421052632,111.068
0.789473684,3.947368421,165.938
0.789473684,5,257.301
-4.473684211,-3.421052632,136.79
1.315789474,-5,183.969
1.315789474,-3.947368421,125.665
1.315789474,-3.421052632,94.094
1.315789474,-2.894736842,77.892
1.315789474,-2.368421053,65.04
1.315789474,-1.842105263,57.332
1.315789474,-1.315789474,52.408
1.315789474,-0.789473684,50.755
1.315789474,-0.263157895,49.531
1.315789474,0.263157895,50.988
1.315789474,0.789473684,53.414
1.315789474,1.315789474,59.045
1.315789474,1.842105263,68.008
1.315789474,2.368421053,81.263
1.315789474,2.894736842,101.375
1.315789474,3.421052632,126.703
1.315789474,3.947368421,173.738
1.315789474,5,252.3
1.842105263,-5,178.95
1.842105263,-3.947368421,138.024
1.842105263,-3.421052632,108.029
1.842105263,-2.894736842,89.297
1.842105263,-2.368421053,76.258
1.842105263,-1.842105263,66.845
1.842105263,-1.315789474,61.666
1.842105263,-0.789473684,58.844
1.842105263,-0.263157895,58.909
1.842105263,0.263157895,60.358
1.842105263,0.789473684,63.993
1.842105263,1.315789474,70.279
1.842105263,1.842105263,78.271
1.842105263,2.368421053,92.709
1.842105263,2.894736842,115.624
1.842105263,3.421052632,143.535
1.842105263,3.947368421,195.356
1.842105263,5,226.608
2.368421053,-5,178.665
2.368421053,-3.947368421,156.476
2.368421053,-3.421052632,127.8
2.368421053,-2.894736842,108.573
2.368421053,-2.368421053,93.229
2.368421053,-1.842105263,82.788
2.368421053,-1.315789474,75.691
2.368421053,-0.789473684,71.868
2.368421053,-0.263157895,72.042
2.368421053,0.263157895,74.954
2.368421053,0.789473684,79.236
2.368421053,1.315789474,85.876
2.368421053,1.842105263,96.101
2.368421053,2.368421053,112.099
2.368421053,2.894736842,134.354
2.368421053,3.421052632,162.662
2.368421053,3.947368421,217.956
2.368421053,5,202.341
-5,-3.947368421,75.723
2.894736842,-5,177.787
2.894736842,-4.473684211,263.345
2.894736842,-3.421052632,153.044
2.894736842,-2.894736842,135.188
2.894736842,-2.368421053,118.864
2.894736842,-1.842105263,105.973
2.894736842,-1.315789474,97.83
2.894736842,-0.789473684,93.324
2.894736842,-0.263157895,91.621
2.894736842,0.263157895,94.611
2.894736842,0.789473684,101.462
2.894736842,1.315789474,110.469
2.894736842,1.842105263,122.649
2.894736842,2.368421053,138.141
2.894736842,2.894736842,158.09
2.894736842,3.421052632,187.182
2.894736842,4.473684211,276.452
2.894736842,5,166.641
3.421052632,-5,192.108
3.421052632,-4.473684211,252.157
3.421052632,-2.894736842,175.011
3.421052632,-2.368421053,149.184
3.421052632,-1.842105263,139.35
3.421052632,-1.315789474,132.962
3.421052632,-0.789473684,128.811
3.421052632,-0.263157895,126.778
3.421052632,0.263157895,125.835
3.421052632,0.789473684,129.101
3.421052632,1.315789474,140.769
3.421052632,1.842105263,154.893
3.421052632,2.368421053,170.531
3.421052632,2.894736842,192.824
3.421052632,4.473684211,192.739
3.421052632,5,132.514
3.947368421,-5,246.966
3.947368421,-4.473684211,303.092
3.947368421,-3.947368421,337.321
3.947368421,-2.894736842,259.73
3.947368421,-2.368421053,227.076
3.947368421,-1.842105263,216.535
3.947368421,-1.315789474,210.93
3.947368421,-0.789473684,205.636
3.947368421,-0.263157895,202.17
3.947368421,0.263157895,198.393
3.947368421,0.789473684,194.287
3.947368421,1.315789474,199.965
3.947368421,1.842105263,215.978
3.947368421,2.368421053,235.003
3.947368421,2.894736842,283.653
3.947368421,3.947368421,211.134
3.947368421,4.473684211,144.89
3.947368421,5,106.939
-4.473684211,3.421052632,159.032
4.473684211,3.421052632,199.529
4.473684211,3.947368421,148.249
4.473684211,4.473684211,118.078
4.473684211,5,91.912
-4.473684211,3.947368421,120.555
5,-5,351.043
5,-4.473684211,378.245
5,-3.947368421,373.871
5,-3.421052632,364.402
5,-2.894736842,357.95
5,-2.368421053,346.022
5,-1.842105263,336.534
5,-1.315789474,329.018
5,-0.789473684,323.484
5,-0.263157895,317.471
-4.473684211,4.473684211,97.492
5,0.263157895,311.243
5,0.789473684,308.403
5,1.315789474,292.928
5,1.842105263,253.265
5,2.368421053,219.773
5,2.894736842,176.865
5,3.421052632,137.548
5,3.947368421,110.281
5,4.473684211,92.46
5,5,80.973
-4.473684211,5,76.314
-5,-3.421052632,94.689
-3.947368421,-5,74.356
-3.947368421,-4.473684211,99.51
-3.947368421,-3.947368421,144.951
-3.947368421,-2.894736842,195.262
-3.947368421,-2.368421053,162.742
-3.947368421,-1.842105263,146.967
-3.947368421,-1.315789474,135.746
-3.947368421,-0.789473684,132.546
-3.947368421,-0.263157895,134.652
-5,-2.894736842,120.368
-3.947368421,0.263157895,136.359
-3.947368421,0.789473684,137.948
-3.947368421,1.315789474,145.279
-3.947368421,1.842105263,161.154
-3.947368421,2.368421053,180.736
-3.947368421,2.894736842,224.428
-3.947368421,3.947368421,174.46
-3.947368421,4.473684211,121.182
-3.947368421,5,90.462
-5,-2.368421053,150.512
-3.421052632,-5,91.691
-3.421052632,-4.473684211,132.556
-3.421052632,-2.894736842,133.211
-3.421052632,-2.368421053,118.913
-3.421052632,-1.842105263,107.399
-3.421052632,-1.315789474,98.707
-3.421052632,-0.789473684,89.759
-3.421052632,-0.263157895,86.927
-5,-1.842105263,171.244
-3.421052632,0.263157895,88.98
-3.421052632,0.789473684,93.591
-3.421052632,1.315789474,104.833
-3.421052632,1.842105263,120.288
-3.421052632,2.368421053,134.542
-3.421052632,2.894736842,156.432
-3.421052632,4.473684211,164.739
-3.421052632,5,113.449
-5,-1.315789474,197.332
-2.894736842,-5,114.303
-2.894736842,-4.473684211,189.555
-2.894736842,-3.421052632,130.158
-2.894736842,-2.894736842,109.578
-2.894736842,-2.368421053,96.194
-2.894736842,-1.842105263,84.88
-2.894736842,-1.315789474,77.455
